index,high,highTime,low,lowTime,high-low
253,139.0,1618414238.0,134.0,1618414390.0,5.0
255,691.0,1618414363.0,677.0,1618414441.0,14.0
257,8002.0,1618414450.0,8002.0,1618414441.0,0.0
259,625.0,1618414067.0,625.0,1618414338.0,0.0
261,1580.0,1618414013.0,1560.0,1618414457.0,20.0
263,1033.0,1618414404.0,1033.0,1618414438.0,0.0
265,1300.0,1618413923.0,1289.0,1618414456.0,11.0
267,401.0,1618414304.0,405.0,1618414453.0,-4.0
269,7689.0,1618414451.0,7671.0,1618414196.0,18.0
272,441.0,1618414265.0,473.0,1618394527.0,-32.0
273,1252.0,1618414289.0,1000.0,1618414186.0,252.0
288,149.0,1618414317.0,50.0,1618414389.0,99.0
299,346.0,1618411608.0,370.0,1618414266.0,-24.0
301,149.0,1618414452.0,91.0,1618411015.0,58.0
303,130.0,1618414426.0,141.0,1618413633.0,-11.0
305,500.0,1618414423.0,500.0,1618414111.0,0.0
307,288.0,1618414368.0,250.0,1618414107.0,38.0
309,100.0,1618414407.0,124.0,1618414057.0,-24.0
311,113.0,1618414110.0,100.0,1618414116.0,13.0
313,4.0,1618414332.0,3.0,1618414448.0,1.0
314,3.0,1618414443.0,2.0,1618414414.0,1.0
315,28.0,1618413078.0,25.0,1618414450.0,3.0
317,37.0,1618414206.0,28.0,1618413976.0,9.0
319,78.0,1618413103.0,76.0,1618413595.0,2.0
321,64.0,1618414222.0,55.0,1618414184.0,9.0
325,6.0,1618414181.0,7.0,1618414396.0,-1.0
327,52.0,1618414424.0,50.0,1618414091.0,2.0
329,85.0,1618414359.0,81.0,1618414437.0,4.0
331,63.0,1618414299.0,59.0,1618414370.0,4.0
333,31.0,1618414444.0,30.0,1618414454.0,1.0
335,88.0,1618414447.0,87.0,1618414419.0,1.0
339,15.0,1618409662.0,15.0,1618412958.0,0.0
341,66.0,1618414177.0,66.0,1618413543.0,0.0
345,88.0,1618413597.0,76.0,1618414149.0,12.0
347,22.0,1618411260.0,22.0,1618414027.0,0.0
349,42.0,1618413841.0,41.0,1618414173.0,1.0
351,23.0,1618414168.0,23.0,1618413472.0,0.0
353,55.0,1618414363.0,3.0,1618412184.0,52.0
355,10.0,1618413783.0,6.0,1618410752.0,4.0
